date,slot,JEPX_prediction,JEPX_actual,EPRX1_prediction,EPRX3_prediction,EPRX1_actual,EPRX3_actual,imbalance
2023/4/5,4,9.8,9.4,19.5,0.34,19.5,0.34,9.4
2023/4/5,5,10.26,10.45,19.5,0.34,19.5,0.34,10.45
2023/4/5,6,10.25,10.45,19.5,0.34,19.5,0.34,10.45
2023/4/5,7,10.09,10.84,19.5,0.45,19.5,0.45,10.84
2023/4/5,8,10.81,11.81,19.5,0.45,19.5,0.45,11.81
2023/4/5,9,10.44,10.83,19.5,0.45,19.5,0.45,10.83
2023/4/5,10,10.5,10.2,19.5,0.45,19.5,0.45,10.2
2023/4/5,11,11.21,10.13,19.5,0.45,19.5,0.45,10.13
2023/4/5,12,10.97,10.14,19.5,0.45,19.5,0.45,10.14
2023/4/5,13,10.19,9.4,19.5,1.52,19.5,1.52,9.4
2023/4/5,14,10.43,9.4,19.5,1.52,19.5,1.52,9.4
2023/4/5,15,9.14,10.2,19.5,1.52,19.5,1.52,10.2
2023/4/5,16,8.75,9.4,19.5,1.52,19.5,1.52,9.4
2023/4/5,17,7.73,9.4,19.5,1.52,19.5,1.52,9.4
2023/4/5,18,6,9.4,19.5,1.52,19.5,1.52,9.4
2023/4/5,19,5,9.92,19.5,0.34,19.5,0.34,9.92
2023/4/5,20,4.76,10.17,19.5,0.34,19.5,0.34,10.17
2023/4/5,21,4.34,9.62,19.5,0.34,19.5,0.34,9.62
2023/4/5,22,3.99,9.4,19.5,0.34,19.5,0.34,9.4
2023/4/5,23,3.74,9.4,19.5,0.34,19.5,0.34,9.4
2023/4/5,24,4.06,9.4,19.5,0.34,19.5,0.34,9.4
2023/4/5,25,3.87,8.98,19.5,0.73,19.5,0.73,8.98
2023/4/5,26,4.01,8.96,19.5,0.73,19.5,0.73,8.96
2023/4/5,27,5.16,9.4,19.5,0.73,19.5,0.73,9.4
2023/4/5,28,5.51,9.4,19.5,0.73,19.5,0.73,9.4
2023/4/5,29,6.25,5.84,19.5,0.73,19.5,0.73,5.84
2023/4/5,30,6.01,9.39,19.5,0.73,19.5,0.73,9.39
2023/4/5,31,5.67,9.39,19.5,6.98,19.5,6.98,9.39
2023/4/5,32,7.75,9.4,19.5,6.98,19.5,6.98,9.4
2023/4/5,33,8.04,9.4,19.5,6.98,19.5,6.98,9.4
2023/4/5,34,8.71,9.4,19.5,6.98,19.5,6.98,9.4
2023/4/5,35,9.06,10,19.5,6.98,19.5,6.98,10
2023/4/5,36,10.18,10.49,19.5,6.98,19.5,6.98,10.49
2023/4/5,37,11.13,10.44,19.5,1.55,19.5,1.55,10.44
2023/4/5,38,11.6,10.84,19.5,1.55,19.5,1.55,10.84
2023/4/5,39,10.73,10.49,19.5,1.55,19.5,1.55,10.49
2023/4/5,40,11,10.37,19.5,1.55,19.5,1.55,10.37
2023/4/5,41,10.84,10,19.5,1.55,19.5,1.55,10
2023/4/5,42,10.23,9.94,19.5,1.55,19.5,1.55,9.94
2023/4/5,43,11.3,10.31,19.5,0.58,19.5,0.58,10.31
2023/4/5,44,10.49,10.31,19.5,0.58,19.5,0.58,10.31
2023/4/5,45,10.8,9.4,19.5,0.58,19.5,0.58,9.4
2023/4/5,46,10.13,9.4,19.5,0.58,19.5,0.58,9.4
